Pairwise_Similarity	Query	Target
1.0	2918	204
0.99	2918	885
0.94	2918	39
1.0	2918	191
0.98	2918	23934
1.0	2918	192
0.99	2918	6984
0.99	2918	8277
0.99	2918	4510
0.7	2918	8812
0.98	20512	10049
0.94	20512	7419
0.78	21267	2939
0.93	3074	469
0.96	3074	1996
0.84	3074	14097
0.89	3074	8410
0.89	3074	14
0.84	3074	13803
0.84	3074	23624
0.87	3074	2258
0.93	3074	3441
0.85	3074	2740
0.9	3074	3060
0.83	3074	16916
0.95	3074	177
0.93	3074	3350
0.94	3074	14827
0.96	3074	26
0.96	14774	5631
0.83	15615	1248
0.84	15615	16710
0.8	15615	16712
0.76	15615	1522
0.95	19389	19095
0.95	23007	11485
0.95	23007	23188
0.91	23007	8556
0.93	23007	11464
0.73	23007	9326
0.94	23007	17165
0.91	23007	23056
0.8	2827	2432
0.94	2827	18699
0.82	2827	18151
0.92	2827	16588
0.87	2827	16285
0.91	2827	1913
0.91	2827	2058
0.89	2827	1145
0.75	2827	682
0.91	2827	22574
0.76	2827	785
0.87	23352	6105
0.97	23352	748
0.84	23352	7412
0.88	23352	81
0.8	23352	724
0.99	23352	23353
0.96	23352	77
0.87	23352	8292
0.79	5744	3267
0.82	5744	2659
0.81	5744	23787
0.84	5744	2662
0.84	5744	23259
0.85	5744	1593
0.76	5744	2299
0.72	5744	112
0.81	5744	2666
0.72	5744	2038
0.7	5744	5115
0.73	5744	2271
0.73	5744	5745
0.84	5744	8437
0.88	5744	3279
0.73	5744	118
0.83	5744	4438
0.97	20857	4061
0.74	20857	3562
0.75	20857	12284
0.8	5691	3352
0.78	8897	17436
0.8	8897	19558
0.73	8897	19626
0.79	8897	4612
0.76	8897	9134
0.8	6952	6985
0.78	6952	10866
0.9	18203	10461
0.9	18203	17435
0.86	18203	11246
0.83	18203	13582
0.76	18203	19467
0.91	18203	10799
0.76	4578	4708
0.75	4578	9823
0.77	4578	2366
0.75	4578	7463
0.78	4578	6861
0.8	4578	4705
0.77	4578	9983
0.76	4578	2367
0.89	2077	3126
0.91	2077	3098
0.86	2077	3107
0.96	2077	2066
0.98	14100	14139
0.94	14100	14198
0.96	13964	5438
0.92	13964	22756
0.88	17091	15151
0.88	17091	15361
0.88	17091	15134
0.89	17091	15077
0.87	17091	15124
0.88	17091	15375
0.9	17091	17077
0.8	17091	18318
0.98	8093	7081
0.98	8093	6549
0.98	8093	10074
0.98	8093	3817
0.98	8093	6443
0.98	8093	13780
0.98	8093	22902
0.98	8093	9036
0.88	23544	10720
0.78	23544	19355
0.73	23544	7751
0.78	23544	7045
0.84	23544	19674
0.71	23544	9449
0.93	8861	7532
0.94	8861	7389
0.81	18176	18116
0.71	6177	4226
0.99	22714	14392
0.74	22714	19040
0.81	22714	14477
0.96	22714	14765
0.92	18849	3651
0.94	18849	5056
0.92	18849	6652
0.91	18849	10646
0.88	6915	6973
0.74	1013	804
0.98	1013	8794
0.71	1013	11006
0.72	1013	12955
0.99	1013	10518
0.71	1013	1992
0.72	1013	10655
0.75	1013	10365
0.72	1013	10892
0.98	1013	1063
0.97	1013	10476
0.77	1013	11863
0.99	1013	9445
0.7	1013	1105
0.78	1013	15009
0.99	1013	7448
0.71	1013	13012
0.7	1013	10644
0.71	1013	8517
0.72	1013	10464
0.72	1013	12017
0.98	1013	10373
0.96	1013	23752
0.74	1013	12034
0.76	1013	2522
0.94	1013	15137
0.71	1013	10444
0.74	1013	1688
0.8	1013	12074
0.98	1013	10653
0.72	1013	11842
0.7	1013	9939
0.72	1013	8444
0.95	441	865
1.0	441	17335
0.95	441	1988
0.98	441	127
0.99	441	98
1.0	441	137
0.98	441	554
0.96	441	3301
0.92	441	10124
0.99	441	94
0.97	441	158
0.73	18068	10086
0.85	18068	23153
0.94	18068	18062
0.91	18068	18045
0.79	18068	18411
0.84	13565	13293
1.0	7778	8405
0.99	7778	9970
0.8	10834	20516
0.83	10834	6326
0.97	11517	11524
0.96	11517	21946
0.97	11517	11221
0.9	11517	10716
0.95	11517	16589
0.96	20009	19152
0.86	20009	9642
0.75	4217	1117
0.93	4217	18219
0.77	4217	15012
0.92	4217	7731
0.88	19619	6826
0.81	19619	6038
0.76	19619	4162
0.86	19619	10967
0.99	585	584
0.98	585	273
0.97	585	478
0.96	585	23116
0.99	585	10150
0.96	585	15459
0.99	585	2934
0.99	585	9136
0.92	585	440
0.99	3433	2602
1.0	3433	2463
0.96	3433	7824
0.94	23564	13727
0.92	8239	3631
0.8	8239	6472
0.95	8239	5963
0.79	8239	6469
0.94	8239	3841
0.98	8239	6291
0.84	8239	3618
0.91	8239	18167
0.75	8239	7195
0.83	8239	6485
0.95	19654	19168
0.91	723	18546
0.97	723	13115
0.96	723	727
0.98	723	2236
0.96	723	707
0.96	723	14179
0.96	723	2283
0.98	723	9219
0.92	723	284
0.84	143	3174
0.94	143	1879
0.91	143	9345
0.92	143	1962
0.8	143	8335
0.93	143	549
0.88	143	3180
0.83	143	9948
0.94	143	10776
0.93	143	1909
0.87	143	9949
0.92	143	23509
0.95	143	12192
0.92	143	14925
0.79	143	856
0.96	2246	10197
0.97	2246	335
0.96	2246	15130
0.95	2246	22535
0.99	2246	23206
0.98	2246	498
0.94	2246	8472
0.98	2246	4900
0.98	2246	500
0.92	2246	1131
0.99	2246	499
0.99	2246	2257
0.95	2246	5763
0.97	2246	18768
0.97	2246	3037
0.98	2246	18770
0.98	2246	4951
0.96	2246	10193
0.98	2246	2754
0.99	2246	1851
0.95	2246	477
0.88	10251	2234
0.86	10251	1814
0.8	10251	1826
0.85	10251	2826
0.85	10251	1847
0.85	10251	2256
0.78	10251	1800
0.88	10251	9760
0.84	10251	8631
0.87	10251	9628
0.87	10251	9659
0.95	5602	9208
0.96	5602	5483
0.87	21517	860
1.0	9852	9883
0.7	6341	12067
0.82	22276	22275
0.91	9004	1557
0.86	9004	1648
0.96	9004	10233
0.82	9004	1785
0.72	9004	654
0.7	17585	10796
0.76	17585	18162
0.81	17585	8672
0.85	17585	7580
0.93	14516	1533
0.97	14516	14698
0.91	14516	14749
0.98	14821	12996
0.98	14821	12985
0.91	14821	13007
0.99	14821	18985
0.99	14821	12867
0.91	10648	8947
0.84	10648	11886
0.84	10648	12171
0.78	10648	11782
0.95	12642	12727
0.7	9666	1218
0.88	166	18247
0.85	166	2206
0.96	166	2083
0.97	166	176
0.85	166	18253
0.9	166	16840
0.89	166	184
0.97	166	180
0.92	166	18240
0.73	166	2115
0.86	166	16848
0.82	166	18255
0.74	166	2091
0.97	166	2095
0.96	166	3046
0.95	166	21804
0.97	166	557
0.91	20672	7790
0.72	9724	19785
0.79	9724	2517
0.79	9724	1674
0.81	9724	3219
0.91	9724	19775
0.97	9724	3996
0.81	9724	13794
0.8	9724	1803
0.71	9724	19797
0.8	9724	343
0.97	9724	4546
0.78	9724	13577
0.81	9724	315
0.77	9724	1735
0.72	9724	13441
0.96	9724	9665
0.74	9724	5520
0.79	9724	2967
0.77	9724	2981
0.73	9724	5078
0.72	9724	2982
0.8	9724	23462
0.72	9724	21973
0.71	9724	1708
0.75	9724	1641
0.72	9724	20267
0.78	9724	2992
0.74	9724	19652
0.98	9724	1771
0.79	9724	3423
0.76	9724	19854
0.78	9724	7875
0.8	9724	5644
0.76	9724	9697
0.78	9724	18645
0.7	9724	6281
0.96	9724	1791
0.71	9724	10698
0.81	9724	3415
0.87	9724	9297
0.75	9724	1754
0.78	9724	5507
0.77	9724	21442
0.81	9724	355
0.7	9724	9691
0.95	9724	14733
0.7	9724	20396
0.76	9724	17186
0.83	9724	7957
0.72	9724	19729
0.99	8711	20924
0.99	8711	8696
0.98	8711	6434
1.0	8711	9341
0.95	8711	9450
0.99	8711	9343
0.9	14771	22630
0.91	574	1994
0.98	574	1
0.94	574	438
0.98	574	14174
0.88	574	45
0.97	16594	13819
0.99	16594	13590
0.89	15541	16130
0.97	15541	16564
0.99	15541	17465
0.93	15541	13846
0.75	15541	20767
0.91	15541	23875
0.82	15541	20771
0.85	15541	11345
0.89	15541	16093
0.84	15541	6373
0.91	17083	17357
0.98	14662	9913
0.98	14662	214
0.84	14662	18987
0.95	14662	14700
0.99	14662	11356
0.97	14662	13796
0.98	14662	15032
0.99	14662	11315
0.95	14662	23782
0.98	14662	14648
0.98	14662	2692
0.99	14662	2695
0.96	14662	4099
0.88	2432	18699
0.76	2432	18151
0.86	2432	16588
0.8	2432	16285
0.89	2432	1913
0.86	2432	2058
0.88	2432	1145
0.94	2432	682
0.83	2432	22574
0.91	2432	785
0.98	22099	20095
0.96	22099	2460
0.98	22099	2469
0.96	22099	2446
0.98	22099	14239
0.97	22099	662
0.92	22099	22813
0.98	22099	14219
0.95	22099	2444
0.98	22099	2451
0.93	22099	8809
0.98	22099	14212
0.98	22099	20096
0.96	22099	14210
0.72	7305	23493
0.78	23370	13216
0.78	23370	8909
0.86	23370	4422
0.84	23370	4477
0.81	23370	4721
0.88	23370	6047
0.71	23370	8913
0.86	23370	4608
0.72	23370	7554
0.77	23370	8919
0.88	23370	3590
0.99	10197	335
0.97	10197	15130
0.99	10197	22535
0.98	10197	23206
0.98	10197	498
0.95	10197	8472
0.99	10197	4900
0.99	10197	500
0.94	10197	1131
0.98	10197	499
0.95	10197	2257
0.96	10197	5763
0.99	10197	18768
0.89	10197	3037
0.99	10197	18770
0.97	10197	4951
1.0	10197	10193
0.98	10197	2754
0.97	10197	1851
0.99	10197	477
1.0	3591	7595
0.82	3591	9284
0.98	3591	6429
0.98	3591	11416
0.98	3591	6426
0.97	3591	7609
0.95	3591	2828
1.0	3591	6253
0.97	3591	2771
0.93	3591	11314
1.0	3591	7469
0.99	3591	6389
1.0	3591	15001
0.95	3591	8695
0.7	19090	19181
0.93	19090	19127
0.7	19090	1069
0.71	19090	20372
0.7	19090	19151
0.74	19090	19117
0.99	19090	5914
0.87	22082	16135
0.84	22082	15982
0.8	22082	16073
0.8	22082	17819
0.89	22082	16129
0.81	22082	17703
0.85	22082	15981
0.74	23070	18398
0.7	10164	12082
0.84	8816	20527
0.8	687	698
0.72	687	547
0.72	687	531
0.71	687	541
0.99	1594	1920
0.99	1594	7976
0.98	1594	9909
0.99	10311	10304
0.81	7685	7819
0.94	23588	18404
0.74	23588	18006
0.9	18748	4186
0.79	18748	1375
0.97	18748	4520
0.97	18748	10169
0.95	18748	14225
0.9	18748	4048
0.99	18748	1844
0.89	18748	20098
0.91	18748	1868
0.83	23210	16903
0.78	9487	4621
0.95	9487	8768
0.99	9487	5937
0.77	9487	4374
0.99	9487	16251
0.95	9487	23599
0.88	23464	4810
0.79	23464	4945
0.97	2290	2259
0.96	2290	9762
0.96	2290	2220
0.79	4536	4328
0.98	4501	4171
0.71	4501	6629
0.89	4501	4011
0.73	4501	16121
0.84	4838	5059
1.0	4838	4774
0.98	4838	17873
0.99	4838	5013
0.93	4838	5349
0.74	6898	22206
0.8	20624	10598
0.99	12450	12857
0.98	12450	12470
0.98	7995	3494
0.97	7995	1624
1.0	18260	18827
0.99	18260	16845
0.98	18260	14892
1.0	18260	18270
0.98	18260	22928
0.99	18260	740
0.99	18260	14893
0.97	18260	2533
0.99	18260	14883
0.99	18260	22930
0.99	18260	18825
0.7	13267	1505
0.97	13267	17438
0.7	13267	13282
0.7	13267	13304
0.72	13267	13354
0.73	13267	1537
0.76	13267	10334
0.92	8117	491
0.91	8117	8118
0.96	8117	8123
0.75	11906	15641
0.72	11906	16636
0.7	11906	22124
0.74	11906	10116
0.72	11906	11843
0.7	11906	1708
0.71	11906	20267
0.71	11906	19729
1.0	20646	3999
0.75	20646	9968
1.0	20646	13105
0.97	18039	16103
0.96	18039	17962
0.88	19673	19644
0.99	9187	17390
0.92	21047	7150
0.78	2102	13869
0.98	2102	1180
0.77	2102	13895
0.87	2102	3079
0.82	2102	3001
0.97	2102	569
0.96	2102	590
0.83	2102	12356
0.95	2102	573
0.99	2102	11354
0.95	2102	2106
0.83	2102	6910
0.89	4830	23174
0.89	4830	14395
0.89	4830	3684
0.76	4830	20832
0.9	4830	4189
0.84	3452	623
0.99	3452	3281
0.91	3452	409
0.97	3452	537
0.79	9292	23862
0.76	9292	13848
0.94	9292	4000
0.9	19121	19352
0.99	20710	7577
0.95	20710	21443
0.94	5509	6657
0.82	5509	14654
0.92	3028	2404
0.8	3028	416
0.82	32	520
0.94	32	980
0.95	32	16810
0.89	32	16152
0.94	32	14839
0.96	32	16809
0.96	32	76
0.92	32	23699
0.95	32	16804
0.9	32	14836
0.88	32	631
0.88	32	17120
0.88	32	991
0.99	23816	16128
0.98	23816	23727
0.99	23816	5670
0.99	23816	16084
0.99	23816	15845
0.99	23816	8286
0.99	23816	8314
0.79	21043	4522
0.77	21043	6378
0.77	21043	22511
0.73	21043	8308
0.76	21043	8121
0.76	21043	8116
0.76	21043	18265
0.76	21043	16234
0.82	21043	7370
0.74	21043	17387
0.99	22774	14686
0.99	22774	2842
0.96	22774	15239
0.99	22774	3052
0.99	22774	22771
0.99	22774	17433
0.97	22774	22767
0.99	22774	2857
0.99	22774	3045
1.0	22774	3154
0.84	22774	2760
0.98	22774	16186
0.99	22774	23776
1.0	22774	22773
0.74	22774	14013
0.99	22774	15282
0.99	22774	2849
0.98	22774	3055
0.98	22774	15308
1.0	22774	16185
0.99	22774	18773
0.98	22774	16181
0.97	22774	18772
0.77	7559	14141
0.97	7559	20572
0.98	7559	14041
0.99	7559	14007
0.73	7559	19529
0.98	7559	14060
0.94	14404	12448
0.8	11045	16447
0.74	11045	12140
0.95	11045	5446
0.76	11045	17218
0.91	11045	12082
0.72	11045	11965
0.96	11045	9547
0.8	11045	17224
0.99	14904	18268
0.99	14904	14882
0.99	14904	14890
0.99	14904	18269
0.99	14904	14894
0.98	14904	12374
0.99	3494	1624
0.77	670	1073
0.71	670	2961
0.73	670	7801
0.79	670	9550
0.72	13216	8909
0.83	13216	4422
0.83	13216	4477
0.8	13216	4721
0.84	13216	6047
0.95	13216	4608
0.71	13216	7554
0.71	13216	8919
0.92	13216	3590
0.98	6155	4702
0.7	5977	10559
0.75	5977	8037
0.75	5977	10729
0.71	5977	17794
0.84	5977	3606
0.85	15357	15379
0.9	15357	15424
0.78	15357	23923
0.99	5748	15549
0.99	5748	22958
0.99	5748	14917
0.99	5748	15548
0.89	14804	6681
0.75	7405	6713
0.83	7405	1687
0.76	7405	2217
0.74	7405	2255
0.75	7405	6817
0.7	7405	1061
0.96	7405	4970
0.75	7405	6862
0.78	7405	10740
0.74	7405	5358
0.7	7405	10480
0.82	7405	10869
0.7	7405	318
0.7	7405	1552
0.7	7405	1739
0.71	7405	15807
0.75	7405	2892
0.88	7405	13234
0.7	7405	14736
0.92	7405	1473
0.7	7405	9825
0.72	7405	8274
0.89	7405	4832
0.72	7405	10400
0.71	7405	10723
0.78	7405	8803
0.9	7405	3905
0.78	7405	4809
0.74	7405	9772
0.75	7405	3437
0.7	7405	8254
0.75	7405	771
0.92	7405	9877
0.73	7405	4106
0.95	7405	3883
0.77	7405	11278
0.76	7405	4015
0.9	7405	4440
0.7	7405	1686
0.74	7405	5005
0.72	7405	5424
0.71	7405	7432
0.72	7405	3737
0.77	7405	2941
0.7	7405	1170
0.73	7405	9184
0.9	7405	4053
0.84	7405	1409
0.78	7405	18406
0.73	7405	4072
0.95	7405	3643
0.74	7405	1491
0.87	7405	15082
0.73	7405	8643
0.7	7405	10926
0.73	7405	8932
0.73	7405	13365
0.72	7405	9788
0.74	7405	1623
0.75	7405	2162
0.74	7405	659
0.72	7405	10812
0.7	7405	2169
0.72	7405	10332
0.92	7405	8826
0.91	7405	4161
0.72	7405	15037
0.76	7405	21148
0.75	7405	7797
0.75	7405	9784
0.72	7405	7779
0.75	7405	9779
0.71	7405	21814
0.82	1200	203
0.85	1200	798
0.82	1200	209
0.83	1200	739
0.86	1200	2791
0.86	1200	794
0.88	1200	6304
0.71	17431	13786
0.99	22594	1283
0.96	17610	13538
0.99	17610	11882
0.98	17610	13894
0.89	7597	7603
0.83	7597	20519
0.8	7597	8720
0.83	7597	8814
0.84	7597	7604
0.8	7597	8719
0.72	10689	23648
0.72	10689	11746
0.89	10689	14242
0.94	10689	7787
0.74	10689	3219
0.74	10689	9514
0.75	10689	13729
0.88	10689	13550
0.98	10689	11110
0.74	10689	7808
0.71	10689	11070
0.76	10689	13794
0.76	10689	5583
0.8	10689	22216
0.77	10689	20414
0.71	10689	17344
0.73	10689	343
0.79	10689	9143
0.8	10689	9333
0.73	10689	315
0.71	10689	21865
0.78	10689	17331
0.73	10689	17060
0.98	10689	8805
0.95	10689	8451
0.75	10689	7006
0.76	10689	2967
0.76	10689	2981
0.77	10689	18593
0.7	10689	2982
0.73	10689	23462
0.7	10689	21875
0.72	10689	21973
0.83	10689	16492
0.72	10689	603
0.71	10689	716
0.75	10689	2992
0.84	10689	11950
0.77	10689	10546
0.96	10689	5565
0.72	10689	12195
0.84	10689	12067
0.94	10689	4554
0.76	10689	3423
0.71	10689	6125
0.76	10689	5644
0.7	10689	6281
0.73	10689	10698
0.74	10689	3415
0.76	10689	9006
0.74	10689	355
0.71	10689	11904
0.89	10689	20971
0.77	10689	18787
0.78	13035	21104
0.76	13035	10965
0.82	13035	8858
0.78	13035	19832
0.79	13035	6287
0.79	13035	7407
0.75	12482	12674
0.81	12482	12472
0.8	19785	2517
0.73	19785	1674
0.7	19785	19775
0.72	19785	3996
0.93	19785	19797
0.72	19785	4546
0.71	19785	13577
0.73	19785	9665
0.7	19785	5520
0.87	19785	6354
0.96	19785	1641
0.97	19785	19652
0.72	19785	1771
0.72	19785	19854
0.74	19785	7875
0.72	19785	1791
0.74	19785	5507
0.73	19785	21442
0.94	19785	19830
0.73	19785	14733
0.72	19785	17186
0.75	19785	7957
0.7	4147	7734
0.9	4147	4611
0.84	4147	7781
0.84	4147	8597
0.84	4147	19754
0.76	23057	5973
0.76	23057	12133
0.96	23057	11043
0.97	23057	11809
0.8	23057	8565
0.77	23057	6331
0.78	23057	6214
0.78	23057	6010
0.89	1185	2526
0.88	21184	13719
0.74	2812	1190
0.93	2812	2804
0.86	2812	3102
0.83	10237	2882
0.8	10237	2883
0.81	10237	9940
0.77	10237	2878
0.74	10237	2886
0.89	10237	10238
0.98	14651	6987
0.97	14651	6981
0.85	14651	21038
0.98	14651	5033
0.98	18427	23091
0.96	18427	23854
0.87	18427	16573
0.85	8332	23381
0.97	8332	4318
0.92	8332	2734
0.98	18827	16845
0.98	18827	14892
1.0	18827	18270
0.98	18827	22928
0.99	18827	740
0.99	18827	14893
0.97	18827	2533
0.98	18827	14883
1.0	18827	22930
0.99	18827	18825
0.72	8836	3685
0.78	8836	7502
0.84	8836	23461
0.78	8836	3523
0.84	3174	1879
0.88	3174	9345
0.94	3174	1962
0.74	3174	8335
0.88	3174	549
0.88	3174	3180
0.78	3174	9948
0.85	3174	10776
0.88	3174	1909
0.84	3174	9949
0.71	3174	9836
0.88	3174	23509
0.87	3174	12192
0.84	3174	14925
0.88	3174	856
1.0	16252	3729
0.72	23712	6713
0.74	23712	2217
0.72	23712	21571
0.96	23712	10475
0.74	23712	2255
0.95	23712	7019
0.87	23712	10355
0.71	23712	5358
0.75	23712	2892
0.71	23712	17082
0.72	23712	12130
0.71	23712	10655
0.7	23712	10892
0.7	23712	9772
0.71	23712	9337
0.75	23712	3437
0.95	23712	10787
0.71	23712	4106
0.74	23712	4015
0.73	23712	16005
0.71	23712	5005
0.71	23712	18641
0.71	23712	10464
0.7	23712	10444
0.86	23712	8951
0.72	23712	15328
0.93	23712	10325
0.72	23712	21635
0.97	23712	10637
0.73	23712	2162
0.7	23712	18584
0.96	23712	10722
0.74	23712	9784
0.91	23712	11785
0.73	23712	9779
0.84	11342	11224
0.81	2087	23266
0.84	2087	18231
0.76	2087	16076
0.88	2087	9912
0.82	2087	16813
0.97	16049	15405
0.71	16049	7808
0.7	16049	11070
0.89	16049	14585
0.72	16049	9333
0.7	16049	9932
0.73	16049	17331
0.7	16049	21875
0.7	16049	10546
0.9	16049	16037
0.7	16049	12681
0.7	16049	11168
0.73	16049	18787
0.74	21826	10862
0.85	21826	21898
0.88	522	3289
0.98	522	545
0.89	522	1133
0.89	522	2679
0.83	522	23964
0.98	522	523
0.89	522	3110
0.81	7940	7893
0.95	2284	4695
0.98	2284	3959
0.96	2284	1066
0.96	2284	9929
0.99	2284	9927
0.98	2284	4556
0.95	19130	20228
0.91	19130	19937
0.9	9584	2002
0.89	9584	5162
0.83	9584	10895
0.87	9584	2201
0.9	9584	15862
0.91	9584	13534
0.89	9584	3048
0.9	9584	18599
0.85	9584	1437
0.89	9584	2177
0.86	9584	1416
0.84	9584	3934
0.87	9584	123
0.77	9584	559
0.96	9584	3162
0.9	9584	2180
0.87	9584	122
0.71	13391	1355
0.73	13391	23626
0.89	10101	14568
0.99	10101	12258
0.97	10101	14330
0.81	10101	663
0.86	10101	6562
0.77	10101	344
0.72	10101	20662
0.9	10101	4092
0.81	10101	4184
0.92	10101	9967
0.88	14809	12288
0.86	14809	18991
0.76	14809	3253
0.86	14809	12349
0.85	14809	15054
0.85	14809	14813
0.84	14809	11507
0.82	14809	21707
0.82	14809	2110
0.85	14809	12276
0.94	22452	6335
0.75	13019	13118
0.76	14489	1827
1.0	21430	6459
0.99	21430	8701
1.0	21430	11591
1.0	21430	13129
1.0	21430	9373
1.0	21430	19978
0.98	21430	7113
0.99	21430	3406
1.0	21430	18550
1.0	21430	3821
1.0	21430	3402
0.99	21430	211
1.0	21430	241
0.96	21430	459
0.8	16874	360
0.88	21808	7692
0.84	10800	10552
0.87	6183	11295
0.79	18247	2206
0.88	18247	2083
0.9	18247	176
1.0	18247	18253
0.95	18247	16840
0.89	18247	184
0.92	18247	180
0.95	18247	18240
0.72	18247	2115
0.99	18247	16848
0.99	18247	18255
0.74	18247	2091
0.92	18247	2095
0.94	18247	3046
0.82	18247	21804
0.9	18247	557
0.93	15873	16340
0.99	15873	15962
0.95	15873	16020
0.71	11857	11006
0.78	11857	12955
0.73	11857	4628
0.89	11857	15359
0.7	11857	12130
0.7	11857	10655
0.7	11857	10892
0.7	11857	1105
0.76	11857	13012
0.99	11857	10555
0.73	11857	8517
0.72	11857	12017
0.7	11857	10444
0.7	11857	5080
0.98	11857	10368
0.71	11857	6324
1.0	3130	3127
1.0	3130	3140
0.99	3130	1951
0.95	3130	3139
0.99	3130	3280
0.99	96	886
0.99	96	560
0.94	96	75
0.99	96	82
1.0	96	138
0.95	96	2907
1.0	96	84
1.0	96	119
0.91	4111	21104
0.9	4111	8858
0.8	4111	19832
0.79	4111	6287
0.89	4111	7407
0.97	4111	7361
0.98	4111	155
0.79	20522	20883
0.95	12252	8103
0.81	12252	9408
0.76	12252	9061
0.82	12252	14687
0.97	12252	8095
0.73	12252	697
0.75	12252	6801
0.83	12252	4137
0.76	12252	653
0.7	12252	2055
0.99	12252	18537
0.76	12252	16147
0.73	12252	2051
0.83	12252	473
0.76	12252	13165
0.92	4236	23374
0.98	99	18250
0.99	99	737
0.97	99	758
0.91	99	18256
0.87	99	97
0.97	99	116
0.98	99	2089
0.98	99	769
0.93	99	21002
0.98	99	18259
0.98	99	2092
0.88	6166	6130
0.82	6166	10490
0.93	6166	15506
0.94	19411	738
0.72	19411	20915
0.97	19411	6866
0.97	19411	6818
0.73	19411	20378
0.97	19411	10122
0.71	19411	17020
0.75	19411	19522
0.93	16310	14993
0.74	16310	16290
0.77	16310	23717
0.94	469	1996
0.77	469	14097
0.96	469	8410
0.84	469	14
0.78	469	13803
0.77	469	23624
0.81	469	2258
0.85	469	3441
0.81	469	2740
0.83	469	3060
0.78	469	16916
0.93	469	177
0.92	469	3350
0.85	469	14827
0.89	469	26
0.95	2234	1814
0.9	2234	1826
0.98	2234	2826
0.7	2234	5568
0.93	2234	1847
0.7	2234	1505
0.97	2234	2256
0.71	2234	5567
0.73	2234	13282
0.87	2234	1800
0.7	2234	10323
0.7	2234	5296
0.72	2234	13354
0.97	2234	9760
0.94	2234	8631
0.98	2234	9628
0.99	2234	9659
0.7	2234	10334
0.83	3849	14555
0.83	3849	14708
0.87	3849	3672
0.81	3849	9366
0.88	3849	6903
0.97	3849	3663
0.93	3849	6871
0.93	956	813
0.91	956	1049
0.94	956	749
0.92	956	2681
0.8	956	2203
0.97	956	23707
0.93	956	669
0.98	2755	2437
0.96	2755	9936
0.84	2755	576
0.94	2755	583
0.94	2755	254
1.0	2755	17040
0.89	2755	577
1.0	2755	2439
1.0	21114	6947
0.99	21114	4769
0.95	21114	8163
0.98	21114	3744
0.99	21114	9407
1.0	21114	3764
0.72	23405	15699
0.83	23405	23185
0.8	23405	23186
0.84	23405	15676
0.86	23405	16673
0.82	23405	15681
0.84	23405	13748
0.86	23405	3380
0.87	23405	6249
0.78	5294	8146
0.91	5294	3673
0.96	5294	8782
0.71	6013	6234
0.82	6013	6261
0.72	6013	9932
0.85	6013	5773
0.93	6013	20901
0.83	6013	6146
0.73	6013	12681
0.73	6013	6301
0.89	3980	17162
0.88	3980	10051
0.94	3980	5109
0.99	3127	3140
0.99	3127	1951
0.94	3127	3139
0.99	3127	3280
0.99	14886	14889
0.99	14886	18249
0.97	14886	14881
0.99	14886	2673
0.98	14886	18257
0.95	14886	2118
0.99	14886	16837
1.0	14886	14885
1.0	20924	8696
0.99	20924	6434
0.99	20924	9341
0.97	20924	9450
0.99	20924	9343
0.92	1985	732
0.9	1985	706
0.9	1985	1034
0.88	1985	696
0.96	1985	11
0.95	1985	1995
0.91	1985	678
0.73	4061	3562
0.73	4061	12284
0.89	18428	18434
0.92	10559	4319
0.95	10559	10729
0.92	10559	22156
0.96	10559	10456
0.71	10559	23137
0.86	10559	3606
0.85	20244	18619
0.7	20244	5166
0.71	20244	16616
0.72	20244	22318
0.72	20244	10627
0.8	20244	15183
0.96	20244	9447
0.74	20244	12007
0.96	20244	20440
0.92	20244	8466
0.96	20244	5196
0.98	8750	20379
0.86	8750	8619
0.98	8750	6631
0.98	8750	17023
0.76	8750	2316
0.82	8750	20967
0.87	8750	21083
0.98	8750	21256
0.99	8750	19148
0.79	8750	7474
1.0	8750	14975
0.71	8750	3109
0.97	8750	20448
0.96	2697	9029
0.7	16864	16862
0.73	16864	16863
0.92	9536	9538
0.71	14293	14717
0.79	14293	14626
0.75	14293	15150
0.95	14293	5512
0.74	14293	16038
0.82	14293	15154
0.95	14293	8453
0.76	14293	11966
0.99	14293	8427
0.86	14293	7436
0.76	14293	5536
0.77	14293	8691
0.71	14293	15385
0.77	14293	8620
0.97	14293	12120
0.91	14293	9995
0.76	14293	5020
0.72	14293	17208
0.77	14293	14476
0.76	14293	9457
0.74	14293	16011
0.99	18212	14672
0.96	18212	4660
0.7	18212	16777
0.92	18212	15687
0.99	18212	18216
0.97	18212	3080
0.96	18212	13126
0.97	18212	13850
0.99	18212	18412
0.83	18212	14136
0.95	18212	17527
0.97	18212	17299
0.98	18212	13851
0.98	18212	17302
0.97	18212	16262
0.99	18212	14702
0.97	18212	3082
0.99	18212	16792
0.98	18212	2030
0.99	18212	14782
0.71	18212	14572
0.7	18212	16773
0.93	9404	1120
0.7	9404	8870
0.8	19340	20198
0.81	19340	19407
0.74	4310	11603
0.97	4310	4534
0.91	14931	10108
0.96	14931	6737
0.98	14931	3998
0.93	14931	10106
0.98	14931	4086
0.86	14554	19737
0.9	6919	4241
0.99	6919	5577
0.8	6919	228
0.95	6919	8662
0.93	6919	8500
0.93	6919	8511
0.82	6919	393
0.82	6919	8120
0.81	6919	4182
0.7	10747	17185
0.77	10747	13784
0.91	7376	13722
0.7	7376	15602
0.71	7376	23078
0.79	7376	2923
0.99	2536	22103
0.7	2536	10434
0.97	2536	12134
0.73	2536	10294
0.73	2536	10931
0.98	2536	11139
0.78	2536	12153
1.0	2536	10302
